league,season_start,season_end,date,status,matchday,home_team,home_team_short,home_team_code,away_team,away_team_short,away_team_code,home_team_score,away_team_score,home_team_halfscore,away_team_halfscore
UEFA Champions League,2021-06-22,2022-05-28,2021-09-28T19:00:00Z,FINISHED,2,Real Madrid CF,Real Madrid,RMA,FC Sheriff Tiraspol,Sheriff,SHE,1,2,0,1
UEFA Champions League,2021-06-22,2022-05-28,2021-09-29T16:45:00Z,FINISHED,2,Atalanta BC,Atalanta,ATA,BSC Young Boys,Young Boys,YOB,1,0,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-09-29T16:45:00Z,FINISHED,2,FK Zenit Sankt-Petersburg,Zenit,ZEN,Malmö FF,Malmö FF,MAL,4,0,1,0
UEFA Champions League,2021-06-22,2022-05-28,2021-09-29T19:00:00Z,FINISHED,2,Sport Lisboa e Benfica,SL Benfica,BEN,FC Barcelona,Barça,FCB,3,0,1,0
UEFA Champions League,2021-06-22,2022-05-28,2021-09-29T19:00:00Z,FINISHED,2,FC Bayern München,Bayern,FCB,FK Dynamo Kyiv,Dynamo Kyiv,DYN,5,0,2,0
UEFA Champions League,2021-06-22,2022-05-28,2021-09-29T19:00:00Z,FINISHED,2,Manchester United FC,Man United,MUN,Villarreal CF,Villarreal,VIL,2,1,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-09-29T19:00:00Z,FINISHED,2,VfL Wolfsburg,Wolfsburg,WOB,Sevilla FC,Sevilla FC,SEV,1,1,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-09-29T19:00:00Z,FINISHED,2,FC Red Bull Salzburg,RB Salzburg,RBS,Lille OSC,Lille,LIL,2,1,1,0
UEFA Champions League,2021-06-22,2022-05-28,2021-09-29T19:00:00Z,FINISHED,2,Juventus FC,Juventus,JUV,Chelsea FC,Chelsea,CHE,1,0,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-10-19T16:45:00Z,FINISHED,3,Club Brugge KV,Club Brugge,CLU,Manchester City FC,Man City,MCI,1,5,0,2
UEFA Champions League,2021-06-22,2022-05-28,2021-10-19T16:45:00Z,FINISHED,3,Beşiktaş JK,Beşiktaş,BES,Sporting Clube de Portugal,Sporting CP,SPO,1,4,1,3
UEFA Champions League,2021-06-22,2022-05-28,2021-10-19T19:00:00Z,FINISHED,3,Paris Saint-Germain FC,PSG,PSG,RB Leipzig,RB Leipzig,RBL,3,2,1,1
UEFA Champions League,2021-06-22,2022-05-28,2021-10-19T19:00:00Z,FINISHED,3,FC Porto,Porto,FCP,AC Milan,Milan,MIL,1,0,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-10-19T19:00:00Z,FINISHED,3,Club Atlético de Madrid,Atleti,ATL,Liverpool FC,Liverpool,LIV,2,3,2,2
UEFA Champions League,2021-06-22,2022-05-28,2021-10-19T19:00:00Z,FINISHED,3,AFC Ajax,Ajax,AJA,Borussia Dortmund,Dortmund,BVB,4,0,2,0
UEFA Champions League,2021-06-22,2022-05-28,2021-10-19T19:00:00Z,FINISHED,3,FC Internazionale Milano,Inter,INT,FC Sheriff Tiraspol,Sheriff,SHE,3,1,1,0
UEFA Champions League,2021-06-22,2022-05-28,2021-10-19T19:00:00Z,FINISHED,3,FK Shakhtar Donetsk,Shaktar,SHD,Real Madrid CF,Real Madrid,RMA,0,5,0,1
UEFA Champions League,2021-06-22,2022-05-28,2021-10-20T16:45:00Z,FINISHED,3,FC Barcelona,Barça,FCB,FK Dynamo Kyiv,Dynamo Kyiv,DYN,1,0,1,0
UEFA Champions League,2021-06-22,2022-05-28,2021-10-20T16:45:00Z,FINISHED,3,FC Red Bull Salzburg,RB Salzburg,RBS,VfL Wolfsburg,Wolfsburg,WOB,3,1,1,1
UEFA Champions League,2021-06-22,2022-05-28,2021-10-20T19:00:00Z,FINISHED,3,Sport Lisboa e Benfica,SL Benfica,BEN,FC Bayern München,Bayern,FCB,0,4,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-10-20T19:00:00Z,FINISHED,3,Manchester United FC,Man United,MUN,Atalanta BC,Atalanta,ATA,3,2,0,2
UEFA Champions League,2021-06-22,2022-05-28,2021-10-20T19:00:00Z,FINISHED,3,BSC Young Boys,Young Boys,YOB,Villarreal CF,Villarreal,VIL,1,4,0,2
UEFA Champions League,2021-06-22,2022-05-28,2021-10-20T19:00:00Z,FINISHED,3,Lille OSC,Lille,LIL,Sevilla FC,Sevilla FC,SEV,0,0,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-10-20T19:00:00Z,FINISHED,3,FK Zenit Sankt-Petersburg,Zenit,ZEN,Juventus FC,Juventus,JUV,0,1,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-10-20T19:00:00Z,FINISHED,3,Chelsea FC,Chelsea,CHE,Malmö FF,Malmö FF,MAL,4,0,2,0
UEFA Champions League,2021-06-22,2022-05-28,2021-11-02T17:45:00Z,FINISHED,4,VfL Wolfsburg,Wolfsburg,WOB,FC Red Bull Salzburg,RB Salzburg,RBS,2,1,1,1
UEFA Champions League,2021-06-22,2022-05-28,2021-11-02T17:45:00Z,FINISHED,4,Malmö FF,Malmö FF,MAL,Chelsea FC,Chelsea,CHE,0,1,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-11-02T20:00:00Z,FINISHED,4,FC Bayern München,Bayern,FCB,Sport Lisboa e Benfica,SL Benfica,BEN,5,2,2,1
UEFA Champions League,2021-06-22,2022-05-28,2021-11-02T20:00:00Z,FINISHED,4,FK Dynamo Kyiv,Dynamo Kyiv,DYN,FC Barcelona,Barça,FCB,0,1,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-11-02T20:00:00Z,FINISHED,4,Atalanta BC,Atalanta,ATA,Manchester United FC,Man United,MUN,2,2,1,1
UEFA Champions League,2021-06-22,2022-05-28,2021-11-02T20:00:00Z,FINISHED,4,Villarreal CF,Villarreal,VIL,BSC Young Boys,Young Boys,YOB,2,0,1,0
UEFA Champions League,2021-06-22,2022-05-28,2021-11-02T20:00:00Z,FINISHED,4,Sevilla FC,Sevilla FC,SEV,Lille OSC,Lille,LIL,1,2,1,1
UEFA Champions League,2021-06-22,2022-05-28,2021-11-02T20:00:00Z,FINISHED,4,Juventus FC,Juventus,JUV,FK Zenit Sankt-Petersburg,Zenit,ZEN,4,2,1,1
UEFA Champions League,2021-06-22,2022-05-28,2021-11-03T17:45:00Z,FINISHED,4,AC Milan,Milan,MIL,FC Porto,Porto,FCP,1,1,0,1
UEFA Champions League,2021-06-22,2022-05-28,2021-11-03T17:45:00Z,FINISHED,4,Real Madrid CF,Real Madrid,RMA,FK Shakhtar Donetsk,Shaktar,SHD,2,1,1,1
UEFA Champions League,2021-06-22,2022-05-28,2021-11-03T20:00:00Z,FINISHED,4,RB Leipzig,RB Leipzig,RBL,Paris Saint-Germain FC,PSG,PSG,2,2,1,2
UEFA Champions League,2021-06-22,2022-05-28,2021-11-03T20:00:00Z,FINISHED,4,Manchester City FC,Man City,MCI,Club Brugge KV,Club Brugge,CLU,4,1,1,1
UEFA Champions League,2021-06-22,2022-05-28,2021-11-03T20:00:00Z,FINISHED,4,Liverpool FC,Liverpool,LIV,Club Atlético de Madrid,Atleti,ATL,2,0,2,0
UEFA Champions League,2021-06-22,2022-05-28,2021-11-03T20:00:00Z,FINISHED,4,Borussia Dortmund,Dortmund,BVB,AFC Ajax,Ajax,AJA,1,3,1,0
UEFA Champions League,2021-06-22,2022-05-28,2021-11-03T20:00:00Z,FINISHED,4,Sporting Clube de Portugal,Sporting CP,SPO,Beşiktaş JK,Beşiktaş,BES,4,0,3,0
UEFA Champions League,2021-06-22,2022-05-28,2021-11-03T20:00:00Z,FINISHED,4,FC Sheriff Tiraspol,Sheriff,SHE,FC Internazionale Milano,Inter,INT,1,3,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-11-23T17:45:00Z,FINISHED,5,FK Dynamo Kyiv,Dynamo Kyiv,DYN,FC Bayern München,Bayern,FCB,1,2,0,2
UEFA Champions League,2021-06-22,2022-05-28,2021-11-23T17:50:00Z,FINISHED,5,Villarreal CF,Villarreal,VIL,Manchester United FC,Man United,MUN,0,2,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-11-23T20:00:00Z,FINISHED,5,FC Barcelona,Barça,FCB,Sport Lisboa e Benfica,SL Benfica,BEN,0,0,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-11-23T20:00:00Z,FINISHED,5,BSC Young Boys,Young Boys,YOB,Atalanta BC,Atalanta,ATA,3,3,1,1
UEFA Champions League,2021-06-22,2022-05-28,2021-11-23T20:00:00Z,FINISHED,5,Lille OSC,Lille,LIL,FC Red Bull Salzburg,RB Salzburg,RBS,1,0,1,0
UEFA Champions League,2021-06-22,2022-05-28,2021-11-23T20:00:00Z,FINISHED,5,Sevilla FC,Sevilla FC,SEV,VfL Wolfsburg,Wolfsburg,WOB,2,0,1,0
UEFA Champions League,2021-06-22,2022-05-28,2021-11-23T20:00:00Z,FINISHED,5,Chelsea FC,Chelsea,CHE,Juventus FC,Juventus,JUV,4,0,1,0
